task,language,id,n,gz,cpu,KB,status,load,secs [15 Apr 2016 u64q n]
mandelbrot,Fortran Intel,4,16000,611,49.084,61076,0,94% 41% 93% 34%,18.782
mandelbrot,Lisp SBCL,1,1000,2459,0.132,0,0,60% 75% 83% 75%,0.047
mandelbrot,Lisp SBCL,1,4000,2459,1.824,39472,0,96% 90% 96% 84%,0.506
mandelbrot,Lisp SBCL,1,16000,2459,28.528,68904,0,99% 100% 83% 81%,7.876
mandelbrot,Ruby JRuby,4,1000,866,24.736,668324,0,89% 95% 87% 85%,7.009
mandelbrot,Ruby JRuby,4,4000,866,216.377,675456,0,98% 97% 97% 97%,56.029
mandelbrot,Ruby JRuby,4,16000,866,3308.305,762944,0,98% 98% 98% 98%,847.984
mandelbrot,Racket,4,1000,796,0.476,1176,0,30% 26% 32% 97%,0.278
mandelbrot,Racket,4,4000,796,4.860,34176,0,85% 98% 85% 85%,1.379
mandelbrot,Racket,4,16000,796,74.096,73420,0,100% 99% 99% 98%,18.769
mandelbrot,C# Mono,4,1000,872,0.360,1136,0,25% 35% 69% 29%,0.244
mandelbrot,C# Mono,4,4000,872,2.216,43160,0,74% 72% 76% 89%,0.72
mandelbrot,C# Mono,4,16000,872,31.580,80680,0,100% 97% 97% 97%,8.116
mandelbrot,F# Mono,4,1000,869,0.688,42848,0,18% 14% 29% 70%,0.566
mandelbrot,F# Mono,4,4000,869,2.848,50676,0,60% 60% 72% 58%,1.153
mandelbrot,F# Mono,4,16000,869,35.972,87616,0,96% 95% 97% 96%,9.399
mandelbrot,OCaml,1,1000,710,0.263,0,0,86% 75% 75% 89%,0.082
mandelbrot,OCaml,1,4000,710,3.497,1396,0,99% 98% 99% 98%,0.894
mandelbrot,OCaml,1,16000,710,54.886,5492,0,100% 100% 100% 100%,13.779
mandelbrot,Perl,1,1000,579,12.033,8644,0,99% 98% 99% 99%,3.043
mandelbrot,Perl,1,4000,579,193.227,8960,0,100% 100% 100% 100%,48.401
mandelbrot,Perl,1,16000,579,3071.863,43400,0,100% 100% 100% 100%,768.996
mandelbrot,Dart,1,1000,901,0.688,33028,0,47% 19% 74% 34%,0.42
mandelbrot,Dart,1,4000,901,4.048,48544,0,83% 43% 78% 40%,1.676
mandelbrot,Dart,1,16000,901,56.776,87944,0,99% 72% 65% 37%,20.929
mandelbrot,Smalltalk VW,2,1000,467,2.416,52544,0,0% 2% 99% 0%,2.44
mandelbrot,Smalltalk VW,2,4000,467,36.428,53592,0,100% 1% 1% 0%,36.44
mandelbrot,Smalltalk VW,2,16000,467,580.812,53628,0,72% 1% 11% 18%,580.979
mandelbrot,Haskell GHC,2,1000,782,0.208,0,0,83% 83% 83% 100%,0.06
mandelbrot,Haskell GHC,2,4000,782,3.016,12396,0,99% 99% 99% 97%,0.775
mandelbrot,Haskell GHC,2,16000,782,47.324,44232,0,100% 100% 100% 100%,11.873
meteor-contest,Rust,2,2098,3837,0.116,0,0,60% 67% 80% 60%,0.051
meteor-contest,Haskell GHC,1,2098,2200,1.136,11632,0,10% 9% 99% 8%,0.885
meteor-contest,C++ g++,6,2098,2620,0.044,0,0,50% 100% 100% 50%,0.014
meteor-contest,Ruby,2,2098,2786,4.644,9472,0,1% 1% 100% 0%,4.649
meteor-contest,Python 3,2,2098,1311,7.772,8512,0,1% 0% 0% 100%,7.778
meteor-contest,Java,2,2098,5177,0.512,2016,0,22% 100% 16% 45%,0.305
meteor-contest,Ada 2005 GNAT,1,2098,7416,0.080,0,0,0% 0% 0% 100%,0.085
meteor-contest,Smalltalk VW,1,2098,5304,0.604,53608,0,3% 100% 2% 3%,0.609
meteor-contest,C gcc,1,2098,3066,0.084,0,0,100% 0% 0% 0%,0.088
meteor-contest,Go,1,2098,2986,0.132,0,0,93% 7% 0% 0%,0.136
meteor-contest,Pascal Free Pascal,3,2098,5471,0.080,0,0,100% 11% 0% 0%,0.083
meteor-contest,Perl,2,2098,1502,25.622,4320,0,1% 0% 100% 1%,25.632
meteor-contest,OCaml,1,2098,2156,0.792,5916,0,0% 0% 100% 3%,0.795
meteor-contest,Racket,1,2098,1907,0.632,23076,0,2% 3% 0% 100%,0.636
meteor-contest,Clojure,2,2098,3689,5.472,88600,0,49% 81% 52% 47%,2.41
meteor-contest,Ruby JRuby,2,2098,2786,22.833,730532,0,53% 43% 83% 50%,10.046
n-body,Scala,1,500000,1358,0.544,32508,0,12% 78% 4% 22%,0.496
n-body,Scala,1,5000000,1358,2.664,35228,0,25% 76% 2% 1%,2.613
n-body,Scala,1,50000000,1358,23.716,35236,0,0% 100% 1% 0%,23.67
n-body,C# Mono,3,500000,1305,0.376,1136,0,8% 97% 0% 3%,0.38
n-body,C# Mono,3,5000000,1305,2.328,38060,0,100% 1% 0% 2%,2.331
n-body,C# Mono,3,50000000,1305,21.812,38400,0,0% 100% 0% 1%,21.82
n-body,Swift,5,500000,1244,0.252,1188,0,11% 0% 0% 96%,0.255
n-body,Swift,5,5000000,1244,2.416,4692,0,0% 1% 100% 0%,2.417
n-body,Swift,5,50000000,1244,24.004,4776,0,100% 0% 0% 1%,24.013
n-body,Pascal Free Pascal,1,500000,1308,0.224,8,0,0% 0% 9% 100%,0.228
n-body,Pascal Free Pascal,1,5000000,1308,2.236,8,0,0% 1% 100% 0%,2.238
n-body,Pascal Free Pascal,1,50000000,1308,22.348,8,0,0% 100% 0% 1%,22.357
n-body,Dart,3,500000,1420,0.428,1072,0,15% 80% 5% 10%,0.406
n-body,Dart,3,5000000,1420,2.916,23436,0,97% 2% 4% 1%,2.876
n-body,Dart,3,50000000,1420,27.768,28080,0,0% 1% 1% 100%,27.576
n-body,Rust,1,500000,1474,0.244,1856,0,4% 4% 0% 100%,0.246
n-body,Rust,1,5000000,1474,2.416,6164,0,1% 100% 1% 0%,2.418
n-body,Rust,1,50000000,1474,24.120,6340,0,0% 1% 100% 0%,24.123
n-body,Java,2,500000,1424,0.420,29500,0,9% 45% 54% 5%,0.561
n-body,Java,2,5000000,1424,2.440,30340,0,100% 3% 2% 1%,2.419
n-body,Java,2,50000000,1424,22.684,30036,0,97% 3% 0% 1%,22.66
n-body,Fortran Intel,5,500000,1659,0.104,0,0,0% 0% 100% 0%,0.106
n-body,Fortran Intel,5,5000000,1659,0.978,516,0,0% 0% 4% 99%,0.981
n-body,Fortran Intel,5,50000000,1659,9.783,516,0,1% 0% 1% 100%,9.787
n-body,C++ g++,3,500000,1763,0.096,0,0,0% 90% 0% 0%,0.099
n-body,C++ g++,3,5000000,1763,0.928,1664,0,100% 3% 1% 1%,0.934
n-body,C++ g++,3,50000000,1763,9.296,1768,0,0% 1% 1% 100%,9.301
n-body,OCaml,1,500000,1239,0.232,452,0,4% 13% 0% 88%,0.234
n-body,OCaml,1,5000000,1239,2.226,704,0,0% 0% 100% 1%,2.228
n-body,OCaml,1,50000000,1239,22.262,708,0,1% 0% 100% 1%,22.269
n-body,Go,1,500000,1310,0.252,1100,0,0% 4% 0% 100%,0.256
n-body,Go,1,5000000,1310,2.428,1828,0,100% 0% 1% 0%,2.43
n-body,Go,1,50000000,1310,22.008,1948,0,0% 1% 0% 100%,22.002
n-body,Lua,4,500000,1305,4.372,2176,0,1% 0% 0% 100%,4.376
n-body,Lua,4,5000000,1305,50.520,2152,0,0% 100% 1% 0%,50.537
n-body,Lua,4,50000000,1305,434.456,2252,0,1% 0% 0% 100%,434.561
n-body,C gcc,4,500000,1490,0.096,0,0,0% 100% 0% 0%,0.099
n-body,C gcc,4,5000000,1490,0.960,976,0,100% 2% 0% 0%,0.965
n-body,C gcc,4,50000000,1490,9.556,1008,0,1% 0% 0% 100%,9.56
n-body,Erlang HiPE,3,500000,1399,1.720,18520,0,5% 39% 1% 58%,1.709
n-body,Erlang HiPE,3,5000000,1399,19.856,20620,0,1% 1% 3% 97%,19.848
n-body,Erlang HiPE,3,50000000,1399,193.276,19396,0,1% 1% 1% 100%,193.325
n-body,Python 3,1,500000,1181,9.188,7976,0,0% 1% 100% 0%,9.202
n-body,Python 3,1,5000000,1181,95.000,8036,0,100% 0% 0% 1%,95.027
n-body,Python 3,1,50000000,1181,923.488,8040,0,44% 13% 0% 44%,923.743
n-body,Erlang,3,500000,1399,3.952,17124,0,2% 37% 62% 2%,3.951
n-body,Erlang,3,5000000,1399,43.072,19084,0,1% 100% 1% 0%,43.081
n-body,Erlang,3,50000000,1399,427.168,33276,0,7% 7% 37% 65%,427.285
n-body,Ruby JRuby,2,500000,1137,14.905,748540,0,44% 87% 27% 30%,8.006
n-body,Ruby JRuby,2,5000000,1137,48.480,749900,0,48% 23% 28% 20%,41.643
n-body,Ruby JRuby,2,50000000,1137,382.876,755980,0,23% 23% 28% 29%,375.104
n-body,Hack,5,500000,1432,6.464,128780,0,1% 100% 2% 1%,6.47
n-body,Hack,5,5000000,1432,58.448,126756,0,3% 0% 0% 98%,58.47
n-body,Hack,5,50000000,1432,579.352,132964,0,29% 56% 0% 17%,579.518
n-body,Clojure,1,500000,2162,2.804,62488,0,83% 42% 34% 29%,1.498
n-body,Clojure,1,5000000,2162,5.308,71712,0,82% 26% 22% 11%,3.799
n-body,Clojure,1,50000000,2162,27.516,80540,0,2% 2% 97% 4%,26.355
n-body,TypeScript,3,500000,1348,0.356,976,0,0% 0% 5% 97%,0.36
n-body,TypeScript,3,5000000,1348,2.880,22476,0,1% 100% 1% 0%,2.883
n-body,TypeScript,3,50000000,1348,28.072,22692,0,0% 0% 100% 1%,28.082
n-body,F# Mono,1,500000,1259,0.884,46004,0,1% 1% 4% 98%,0.889
n-body,F# Mono,1,5000000,1259,3.208,55000,0,99% 1% 1% 2%,3.215
n-body,F# Mono,1,50000000,1259,26.408,53188,0,1% 1% 0% 100%,26.418
n-body,Smalltalk VW,1,500000,1652,2.084,53468,0,0% 0% 99% 2%,2.11
n-body,Smalltalk VW,1,5000000,1652,19.524,52720,0,1% 0% 1% 100%,19.547
n-body,Smalltalk VW,1,50000000,1652,193.864,55520,0,33% 1% 68% 0%,193.94
n-body,Haskell GHC,2,500000,1874,0.268,1148,0,81% 4% 8% 20%,0.254
n-body,Haskell GHC,2,5000000,1874,2.608,6428,0,2% 5% 4% 100%,2.438
n-body,Haskell GHC,2,50000000,1874,25.116,8428,0,2% 35% 67% 2%,23.908
n-body,JavaScript V8,1,500000,1287,0.340,864,0,0% 6% 0% 97%,0.341
n-body,JavaScript V8,1,5000000,1287,3.188,12352,0,0% 1% 100% 1%,3.192
n-body,JavaScript V8,1,50000000,1287,33.892,12500,0,0% 63% 37% 0%,33.905
n-body,Ada 2005 GNAT,5,500000,2436,0.184,0,0,0% 0% 0% 100%,0.188
n-body,Ada 2005 GNAT,5,5000000,2436,1.800,1948,0,100% 0% 1% 1%,1.805
n-body,Ada 2005 GNAT,5,50000000,2436,18.016,1956,0,1% 100% 0% 1%,18.023
n-body,Lisp SBCL,2,500000,1398,0.272,1144,0,0% 100% 0% 0%,0.276
n-body,Lisp SBCL,2,5000000,1398,2.664,17424,0,1% 1% 100% 1%,2.669
n-body,Lisp SBCL,2,50000000,1398,26.596,17424,0,0% 1% 100% 0%,26.603
n-body,Perl,2,500000,1401,10.776,3452,0,0% 0% 100% 1%,10.78
n-body,Perl,2,5000000,1401,107.496,3452,0,1% 0% 0% 100%,107.527
n-body,Perl,2,50000000,1401,1080.053,3452,0,1% 0% 100% 1%,1080.337
n-body,PHP,3,500000,1082,4.096,7812,0,0% 100% 0% 1%,4.102
n-body,PHP,3,5000000,1082,40.928,7728,0,1% 0% 0% 100%,40.943
n-body,PHP,3,50000000,1082,413.040,7776,0,49% 5% 42% 6%,413.156
n-body,Ruby,2,500000,1137,6.736,9184,0,8% 94% 0% 0%,6.743
n-body,Ruby,2,5000000,1137,69.200,9216,0,100% 1% 0% 0%,69.221
n-body,Ruby,2,50000000,1137,694.040,9144,0,0% 1% 100% 0%,694.213
n-body,Racket,2,500000,1689,0.748,31072,0,1% 0% 1% 100%,0.751
n-body,Racket,2,5000000,1689,5.540,31004,0,0% 1% 1% 100%,5.547
n-body,Racket,2,50000000,1689,53.496,31536,0,74% 26% 0% 1%,53.517
pidigits,Clojure,4,2000,1794,3.108,133968,0,60% 64% 50% 20%,1.633
pidigits,Clojure,4,6000,1794,5.832,331284,0,78% 48% 41% 23%,3.096
pidigits,Clojure,4,10000,1794,8.016,409644,0,16% 37% 26% 71%,5.428
pidigits,Erlang,2,2000,512,0.776,21492,0,13% 70% 28% 1%,0.708
pidigits,Erlang,2,6000,512,6.596,23708,0,25% 7% 87% 2%,5.534
pidigits,Erlang,2,10000,512,16.740,38600,0,13% 22% 25% 47%,15.815
pidigits,C gcc,1,2000,448,0.064,0,0,100% 0% 0% 13%,0.067
pidigits,C gcc,1,6000,448,0.588,744,0,0% 3% 2% 100%,0.592
pidigits,C gcc,1,10000,448,1.720,1988,0,1% 0% 1% 100%,1.726
pidigits,Java,2,2000,938,0.312,1572,0,10% 97% 10% 7%,0.297
pidigits,Java,2,6000,938,1.288,31680,0,3% 4% 54% 49%,1.193
pidigits,Java,2,10000,938,3.216,33528,0,3% 2% 80% 21%,3.118
pidigits,Lua,5,2000,479,0.084,0,0,89% 11% 11% 0%,0.086
pidigits,Lua,5,6000,479,0.688,2808,0,1% 99% 1% 0%,0.692
pidigits,Lua,5,10000,479,1.940,3156,0,1% 100% 1% 1%,1.942
pidigits,Lisp SBCL,1,2000,1073,0.096,0,0,0% 100% 0% 0%,0.101
pidigits,Lisp SBCL,1,6000,1073,0.832,20784,0,0% 1% 100% 1%,0.835
pidigits,Lisp SBCL,1,10000,1073,2.368,20784,0,1% 0% 0% 100%,2.372
pidigits,Python 3,5,2000,335,0.124,0,0,88% 63% 27% 12%,0.166
pidigits,Python 3,5,6000,335,0.796,9772,0,1% 1% 99% 0%,0.803
pidigits,Python 3,5,10000,335,2.196,10248,0,1% 0% 0% 100%,2.202
pidigits,Smalltalk VW,4,2000,652,0.540,54764,0,5% 98% 2% 0%,0.572
pidigits,Smalltalk VW,4,6000,652,4.068,53476,0,100% 1% 1% 0%,4.075
pidigits,Smalltalk VW,4,10000,652,11.340,53816,0,0% 100% 1% 1%,11.347
pidigits,Perl,4,2000,261,0.286,560,0,0% 0% 3% 100%,0.287
pidigits,Perl,4,6000,261,1.412,4132,0,1% 0% 1% 99%,1.414
pidigits,Perl,4,10000,261,3.478,4392,0,1% 0% 100% 1%,3.481
pidigits,Erlang HiPE,2,2000,512,0.956,22524,0,31% 26% 79% 13%,0.662
pidigits,Erlang HiPE,2,6000,512,6.932,30116,0,5% 45% 63% 14%,5.641
pidigits,Erlang HiPE,2,10000,512,17.316,36164,0,82% 14% 8% 7%,15.887
pidigits,Ruby JRuby,3,2000,242,7.396,415276,0,94% 59% 56% 50%,2.862
pidigits,Ruby JRuby,3,6000,242,11.979,665792,0,28% 97% 26% 39%,6.326
pidigits,Ruby JRuby,3,10000,242,18.541,666456,0,18% 46% 66% 17%,12.701
pidigits,Ruby,3,2000,242,0.504,52640,0,98% 0% 4% 2%,0.51
pidigits,Ruby,3,6000,242,3.960,143520,0,0% 100% 0% 1%,3.973
pidigits,Ruby,3,10000,242,11.156,163168,0,96% 0% 1% 6%,11.18
pidigits,Ada 2005 GNAT,2,2000,1254,0.084,0,0,0% 100% 0% 0%,0.086
pidigits,Ada 2005 GNAT,2,6000,1254,0.784,3788,0,99% 1% 0% 5%,0.786
pidigits,Ada 2005 GNAT,2,10000,1254,2.284,4184,0,100% 1% 1% 0%,2.29
pidigits,F# Mono,3,2000,903,0.368,1112,0,0% 15% 97% 0%,0.381
pidigits,F# Mono,3,6000,903,3.272,39892,0,1% 1% 100% 1%,3.277
pidigits,F# Mono,3,10000,903,11.212,42344,0,0% 0% 100% 1%,11.217
pidigits,Racket,2,2000,1122,0.316,1248,0,3% 97% 0% 0%,0.343
pidigits,Racket,2,6000,1122,0.976,32844,0,2% 0% 100% 0%,0.978
pidigits,Racket,2,10000,1122,2.308,34644,0,100% 2% 0% 1%,2.31
pidigits,Go,1,2000,685,0.192,0,0,5% 42% 58% 0%,0.191
pidigits,Go,1,6000,685,1.140,8668,0,78% 9% 42% 21%,1.124
pidigits,Go,1,10000,685,2.880,11140,0,1% 35% 35% 32%,2.852
pidigits,PHP,5,2000,394,0.108,0,0,100% 0% 0% 0%,0.127
pidigits,PHP,5,6000,394,0.784,8488,0,3% 3% 99% 1%,0.79
pidigits,PHP,5,10000,394,2.176,8780,0,0% 3% 100% 0%,2.18
pidigits,Pascal Free Pascal,3,2000,482,0.064,0,0,11% 0% 0% 89%,0.08
pidigits,Pascal Free Pascal,3,6000,482,0.588,1760,0,100% 2% 0% 0%,0.591
pidigits,Pascal Free Pascal,3,10000,482,1.724,2300,0,2% 0% 1% 100%,1.728
pidigits,C# Mono,3,2000,1026,0.376,1092,0,98% 3% 3% 0%,0.397
pidigits,C# Mono,3,6000,1026,3.284,40544,0,1% 99% 1% 1%,3.29
pidigits,C# Mono,3,10000,1026,11.228,41136,0,0% 4% 97% 1%,11.236
pidigits,OCaml,1,2000,560,0.110,0,0,0% 0% 0% 100%,0.112
pidigits,OCaml,1,6000,560,0.984,7016,0,0% 0% 3% 100%,0.986
pidigits,OCaml,1,10000,560,2.825,9192,0,1% 0% 0% 100%,2.828
pidigits,Rust,1,2000,1420,0.060,0,0,0% 0% 100% 0%,0.065
pidigits,Rust,1,6000,1420,0.608,6352,0,100% 3% 0% 3%,0.611
pidigits,Rust,1,10000,1420,1.764,6372,0,1% 1% 1% 100%,1.763
pidigits,Dart,1,2000,321,0.572,25512,0,11% 85% 5% 9%,0.549
pidigits,Dart,1,6000,321,3.808,38768,0,52% 2% 2% 47%,3.765
pidigits,Dart,1,10000,321,11.296,41920,0,99% 1% 1% 1%,11.202
pidigits,Scala,4,2000,1125,0.616,33048,0,28% 39% 10% 77%,0.419
pidigits,Scala,4,6000,1125,1.700,51108,0,14% 25% 83% 18%,1.256
pidigits,Scala,4,10000,1125,3.528,61272,0,33% 3% 73% 11%,2.974
pidigits,Haskell GHC,4,2000,341,0.240,0,0,8% 29% 33% 100%,0.145
pidigits,Haskell GHC,4,6000,341,1.496,8904,0,19% 21% 100% 17%,1.005
pidigits,Haskell GHC,4,10000,341,4.132,16352,0,41% 15% 17% 76%,2.828
pidigits,Fortran Intel,3,2000,975,0.070,0,0,13% 0% 0% 100%,0.072
pidigits,Fortran Intel,3,6000,975,0.656,1304,0,0% 3% 100% 0%,0.658
pidigits,Fortran Intel,3,10000,975,1.913,1572,0,0% 2% 100% 3%,1.915
pidigits,C++ g++,3,2000,682,0.080,0,0,0% 0% 100% 0%,0.083
pidigits,C++ g++,3,6000,682,0.780,3404,0,100% 1% 4% 0%,0.782
pidigits,C++ g++,3,10000,682,2.288,3792,0,1% 100% 1% 1%,2.292
pidigits,Hack,1,2000,735,15.336,133080,0,2% 1% 0% 100%,15.346
pidigits,Hack,1,6000,735,156.996,134372,0,1% 25% 76% 1%,157.054
pidigits,Hack,1,10000,735,478.796,135728,0,29% 1% 1% 72%,478.97
regex-dna,Hack,4,50000,832,0.800,112316,0,33% 80% 35% 29%,0.499
regex-dna,Hack,4,500000,832,1.340,146096,0,84% 31% 38% 40%,0.75
regex-dna,Hack,4,5000000,832,6.056,232320,0,54% 67% 44% 78%,2.511
regex-dna,Ruby,8,50000,529,0.376,0,0,53% 80% 47% 37%,0.194
regex-dna,Ruby,8,500000,529,2.812,19440,0,72% 52% 61% 66%,1.149
regex-dna,Ruby,8,5000000,529,27.108,108284,0,71% 63% 91% 67%,9.347
regex-dna,Lua,2,50000,596,0.316,1180,0,3% 97% 0% 0%,0.335
regex-dna,Lua,2,500000,596,3.112,31912,0,98% 1% 1% 1%,3.185
regex-dna,Lua,2,5000000,596,31.024,378752,0,1% 1% 0% 100%,31.038
regex-dna,Go,2,50000,789,0.536,1088,0,87% 52% 55% 55%,0.226
regex-dna,Go,2,500000,789,5.012,54448,0,69% 74% 70% 69%,1.832
regex-dna,Go,2,5000000,789,48.828,660712,0,99% 64% 63% 64%,16.854
regex-dna,Ruby JRuby,7,50000,507,9.307,195712,0,73% 89% 66% 76%,3.071
regex-dna,Ruby JRuby,7,500000,507,25.710,252444,0,95% 82% 81% 86%,7.495
regex-dna,Ruby JRuby,7,5000000,507,49.578,787976,0,69% 67% 81% 84%,16.577
regex-dna,PHP,4,50000,832,0.068,0,0,67% 50% 67% 50%,0.036
regex-dna,PHP,4,500000,832,0.564,22972,0,39% 52% 79% 76%,0.243
regex-dna,PHP,4,5000000,832,5.096,107036,0,47% 33% 100% 53%,2.218
regex-dna,Ada 2005 GNAT,5,50000,3492,0.184,0,0,38% 64% 29% 36%,0.142
regex-dna,Ada 2005 GNAT,5,500000,3492,1.728,15608,0,74% 60% 75% 57%,0.702
regex-dna,Ada 2005 GNAT,5,5000000,3492,16.888,156084,0,76% 67% 78% 87%,5.522
regex-dna,Perl,2,50000,527,0.302,0,0,50% 67% 75% 67%,0.118
regex-dna,Perl,2,500000,527,2.750,88572,0,76% 56% 62% 67%,1.058
regex-dna,Perl,2,5000000,527,27.162,142492,0,76% 75% 77% 54%,9.701
regex-dna,C# Mono,2,50000,594,3.012,75056,0,9% 13% 9% 88%,2.546
regex-dna,C# Mono,2,500000,594,9.784,105160,0,47% 81% 41% 38%,4.753
regex-dna,C# Mono,2,5000000,594,78.496,364456,0,80% 84% 62% 66%,27.052
regex-dna,Scala,5,50000,1704,1.144,35652,0,47% 80% 53% 55%,0.501
regex-dna,Scala,5,500000,1704,3.544,48980,0,70% 71% 70% 91%,1.176
regex-dna,Scala,5,5000000,1704,27.868,466024,0,85% 84% 92% 88%,7.982
regex-dna,OCaml,4,50000,1050,0.045,0,0,75% 75% 88% 86%,0.074
regex-dna,OCaml,4,500000,1050,0.139,537632,0,82% 85% 99% 86%,0.655
regex-dna,OCaml,4,5000000,1050,1.385,268480,0,83% 83% 83% 100%,9.429
regex-dna,Python 3,1,50000,478,0.336,44336,0,26% 33% 78% 30%,0.233
regex-dna,Python 3,1,500000,478,2.456,34624,0,39% 32% 71% 50%,1.334
regex-dna,Python 3,1,5000000,478,23.440,266312,0,49% 39% 68% 68%,10.576
regex-dna,F# Mono,3,50000,870,4.300,93092,0,24% 69% 15% 11%,3.671
regex-dna,F# Mono,3,500000,870,11.600,266396,0,47% 41% 67% 37%,6.12
regex-dna,F# Mono,3,5000000,870,84.008,2021328,0,67% 65% 74% 71%,30.537
regex-dna,Haskell GHC,2,50000,1518,0.396,0,0,77% 93% 75% 77%,0.128
regex-dna,Haskell GHC,2,500000,1518,3.948,68288,0,85% 87% 82% 92%,1.157
regex-dna,Haskell GHC,2,5000000,1518,40.776,257400,0,96% 91% 93% 98%,10.842
regex-dna,C gcc,1,50000,2579,0.060,0,0,10% 18% 91% 18%,0.103
regex-dna,C gcc,1,500000,2579,0.516,916,0,40% 38% 42% 88%,0.256
regex-dna,C gcc,1,5000000,2579,5.868,317952,0,53% 51% 48% 92%,2.446
regex-dna,Java,5,50000,929,0.972,1760,0,82% 69% 51% 44%,0.401
regex-dna,Java,5,500000,929,3.372,118684,0,60% 91% 65% 66%,1.202
regex-dna,Java,5,5000000,929,24.700,761724,0,68% 73% 77% 83%,8.243
regex-dna,Smalltalk VW,1,50000,584,7.556,53032,0,100% 1% 1% 0%,7.577
regex-dna,Smalltalk VW,1,500000,584,72.540,99228,0,1% 0% 100% 0%,72.59
regex-dna,Smalltalk VW,1,5000000,584,650.620,375164,0,1% 96% 1% 4%,650.884
regex-dna,Racket,1,50000,527,0.596,39400,0,0% 3% 3% 100%,0.618
regex-dna,Racket,1,500000,527,3.972,153180,0,1% 100% 0% 0%,4.047
regex-dna,Racket,1,5000000,527,39.512,661144,0,1% 1% 0% 100%,39.509
regex-dna,Lisp SBCL,3,50000,1948,0.544,1024,0,37% 32% 73% 47%,0.306
regex-dna,Lisp SBCL,3,500000,1948,4.476,118600,0,84% 44% 45% 39%,2.158
regex-dna,Lisp SBCL,3,5000000,1948,45.228,653188,0,43% 91% 40% 43%,20.979
